name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox
titanite,Ti-SPHENE,CaTiSiO5,cr,7,"9,19",31.MAR.92,cal,-587349,-621180,30.88,NA,55.65,42.23422,5.703951,-9.525038,0,0,0,0,1800,,,-1.0000 titanite 1.0000 Ca+2 1.0000 Ti+4 1.0000 SiO2 -6.0000 H+ 3.0000 H2O,,Ca+2 Ti+4 Si+4 5O-2
tremolite,Tr,(Ca2Mg5)Si8O22(OH)2,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-2770245,-2944038,131.19,NA,272.92,188.222,57.294,-44.822,0,0,0,0,800,,,-1.0000 tremolite -14.0000 H+ 2.0000 Ca+2 5.0000 Mg+2 8.0000 H2O 8.0000 SiO2,idealized,8Si+4 2Ca+2 2H+ 5Mg+2 24O-2
ulvospinel,Fe2TiO4,Fe2TiO4,cr,SG90,NA,NA,cal,-333444,-355522,44.29,NA,46.82,40.241,6.282,-7.658,0,0,0,0,1640,,,-1.0000 ulvospinel 2.0000 Fe+2 1.0000 Ti+4 -8.0000 H+ 4.0000 H2O,,2Fe+2 Ti+4 4O-2
wairakite,Wai,Ca(Al2Si4)O12*2H2O,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-1477432,-1579333,105.1,NA,186.87,100.4,44.47,-16.43,0,0,0,0,1000,,,-1.0000 wairakite -8.0000 H+ 1.0000 Ca+2 2.0000 Al+3 4.0000 SiO2 6.0000 H2O,,Ca+2 2Al+3 4Si+4 4H+ 14O-2
wollastonite,Wo,CaSiO3,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-369225,-389590,19.6,NA,39.93,26.64,3.6,-6.52,0,0,0,0,1400,,,-1.0000 wollastonite -2.0000 H+ 1.0000 Ca+2 1.0000 H2O 1.0000 SiO2,,Si+4 Ca+2 3O-2
wurtzite,Wur,ZnS,cr,HDNB78 [S92],NA,5.May.78,cal,-44810,-45850,14.064,NA,23.846,11.82,1.16,-1.04,0,0,0,0,1300,,,-1.0000 wurtzite -1.0000 H+ 1.0000 HS- 1.0000 Zn+2,idealized,Zn+2 S-2
zincite,Znc,ZnO,cr,G9A,NA,5.May.78,cal,-76596,-83762,10.43,NA,14.338,11.71,1.22,-2.18,0,0,0,0,2000,,,-1.0000 zincite 1.0000 Zn+2 -2.0000 H+ 1.0000 H2O,,Zn+2 O-2
zoisite,Zo,Ca2Al3Si3O12(OH),cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-1549179,-1643691,70.74,NA,135.9,106.118,25.214,-27.145,0,0,0,0,700,,,-1.0000 zoisite -13.0000 H+ 2.0000 Ca+2 3.0000 Al+3 3.0000 SiO2 7.0000 H2O,,3Al+3 2Ca+2 H+ 13O-2 3Si+4
mg-beidellite,Mg-Bei,Mg0.165Al2.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1277068.1,-1366861,57.809,NA,128.725,81.94495,37.2604,-18.0179,0,0,0,0,800,,,-1.0000 mg-beidellite 2.3300 Al+3 0.1650 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Mg+2 2.33Al+3 3.67Si+4 12O-2 2H+
mg-montmorillonite,Mg-Mnt,Mg0.495Al1.67Si4O10(OH)2,cr,21,NA,1.Mar.18,cal,-1268462.4,-1357688,59.309,NA,132.029,79.93525,39.61,-16.6319,0,0,0,0,800,,,-1.0000 mg-montmorillonite 1.6700 Al+3 0.4950 Mg+2 4.0000 SiO2 -6.0000 H+ 4.0000 H2O,,0.495Mg+2 1.67Al+3 4Si+4 2H+ 12O-2
mg-nontronite,MG-Nnt,Mg0.165Fe2Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1075966,-1162870,67.01,NA,134.809,77.94495,53.0404,-13.1879,0,0,0,0,800,,,-1.0000 mg-nontronite 0.3300 Al+3 2.0000 Fe+3 0.1650 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.165Mg+2 2Fe+3 0.33Al+3 3.67Si+4 12O-2 2H+
mg-saponite,Mg-Sap,Mg3.165Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1341259.1,-1432864,61.629,NA,132.602,84.99295,39.6564,-14.0759,0,0,0,0,800,,,-1.0000 mg-saponite 0.3300 Al+3 3.1650 Mg+2 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,3.165Mg+2 0.33Al+3 3.67Si+4 12O-2 2H+
na-beidellite,Na-Bei,Na0.33Al2.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1279691.6,-1369756,59.656,NA,130.727,83.2765,37.78015,-18.25055,0,0,0,0,800,,,-1.0000 na-beidellite 2.3300 Al+3 0.3300 Na+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33Na+ 2.33Al+3 3.67Si+4 12O-2 2H+
na-montmorillonite,Na-Mnt,Na0.33Mg0.33Al1.67Si4O10(OH)2,cr,21,NA,1.Mar.18,cal,-1271085.9,-1360582,61.157,NA,134.03,81.3097,40.75015,-16.5329,0,0,0,0,800,,,-1.0000 na-montmorillonite 1.6700 Al+3 0.3300 Mg+2 0.3300 Na+ 4.0000 SiO2 -6.0000 H+ 4.0000 H2O,,0.33Na+ 0.33Mg+2 1.67Al+3 4Si+4 2H+ 12O-2
na-nontronite,Na-Nnt,Na0.33Fe2Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1078589.5,-1165767,68.852,NA,136.81,79.2765,53.56015,-13.42055,0,0,0,0,800,,,-1.0000 na-nontronite 0.3300 Al+3 2.0000 Fe+3 0.3300 Na+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33Na+ 2Fe+3 0.33Al+3 3.67Si+4 12O-2 2H+
na-saponite,Na-Sap,Na0.33Mg3Al0.33Si3.67O10(OH)2,cr,21,NA,1.Mar.18,cal,-1343882.6,-1435715,63.623,NA,135.32,86.3245,40.17615,-14.30855,0,0,0,0,800,,,-1.0000 na-saponite 0.3300 Al+3 3.0000 Mg+2 0.3300 Na+ 3.6700 SiO2 -7.3200 H+ 4.6600 H2O,,0.33Na+ 3Mg+2 0.33Al+3 3.67Si+4 12O-2 2H+
k-montmorillonite,K-Mnt,K0.33Mg0.33Al1.67Si4O10(OH)2,cr,21,NA,1.Mar.18,cal,-1273171.4,-1362699,62.108,NA,137.455,81.3097,40.75015,-16.5329,0,0,0,0,800,,,-1.0000 k-montmorillonite 1.6700 Al+3 0.3300 K+ 0.3300 Mg+2 4.0000 SiO2 -6.0000 H+ 4.0000 H2O,,0.33K+ 0.33Mg+2 1.67Al+3 4Si+4 2H+ 12O-2
